ibias,mul_cap,nf_ibias,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg1,nf_Mp_stg2,nf_Rz,nf_Mp3,nf_Mp4,CMRR_DC,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Slew Rate Value,PSRR_DC
1.7E-05,12,4,13,22,460,6,216,119,4,2,66.13,7.878E-09,1.14E-08,5.256E-05,87.68,134500000,3251000,136000000,0.002841,45.28,103700000,-43.77
8E-06,14,2,13,44,460,11,216,130,2,1,69.11,6.335E-09,1.034E-08,4.753E-05,87.67,192000000,4889000,193400000,0.002931,44.23,169200000,-43.46
1.4E-05,14,2,26,22,460,11,432,260,4,2,74.75,5.635E-09,8.111E-09,3.77E-05,87.65,194600000,4219000,195600000,0.004774,46.23,150600000,-45.45
1.4E-05,10,4,13,44,460,11,216,106,4,2,67.13,6.717E-09,1.048E-08,4.679E-05,87.56,236700000,5577000,239100000,0.002459,45.01,207700000,-44.55
5E-06,12,2,13,22,460,11,432,237,4,2,64.8,9.806E-09,1.238E-08,4.426E-05,87.55,91720000,1767000,92840000,0.001813,48.07,71710000,-48.46
1.7E-05,12,4,13,88,460,21,216,119,4,2,56.11,5.417E-09,1.005E-08,4.504E-05,87.54,362600000,9559000,367300000,0.003179,42.69,331700000,-42.23
5E-06,14,2,13,44,460,11,216,130,2,1,65.29,7.378E-09,1.081E-08,4.587E-05,87.52,144800000,3241000,146600000,0.001887,45.97,124700000,-45.89
1.4E-05,14,2,26,44,230,21,216,130,4,2,63.23,4.402E-09,7.219E-09,3.345E-05,87.52,409800000,8307000,412400000,0.002686,45.21,315800000,-44.87
5E-06,10,4,13,44,460,11,216,106,4,2,63.2,9.873E-09,1.245E-08,4.422E-05,87.5,119300000,2303000,120400000,0.000929,47.85,96400000,-48.49
8E-06,12,2,13,22,460,11,432,237,4,2,65.69,8.143E-09,1.124E-08,4.517E-05,87.49,125900000,2609000,126000000,0.002817,47.01,103800000,-46.99
1.1E-05,12,4,13,22,460,6,216,119,4,2,75.79,9.334E-09,1.237E-08,5.203E-05,87.47,100700000,2181000,100800000,0.001881,46.79,76070000,-46.01
1.4E-05,14,2,13,44,460,21,432,260,4,2,53.65,5.632E-09,1.002E-08,4.385E-05,87.45,246600000,6351000,247500000,0.00496,43.78,249900000,-43.36
1.1E-05,10,4,13,44,460,11,216,106,4,2,65.47,7.286E-09,1.076E-08,4.598E-05,87.41,203700000,4518000,204700000,0.001957,45.86,176900000,-45.73
1.1E-05,14,2,26,22,460,11,432,260,4,2,71.8,6.223E-09,8.496E-09,3.754E-05,87.41,165700000,3403000,167200000,0.003803,47.02,126200000,-46.58
8E-06,10,4,13,44,460,11,216,106,4,2,64.18,8.189E-09,1.128E-08,4.512E-05,87.4,165300000,3433000,166800000,0.001448,46.79,139300000,-47.01
8E-06,12,4,13,44,230,21,216,119,8,4,61.33,8.487E-09,1.122E-08,3.812E-05,87.37,150400000,2818000,151800000,0.000784,47.66,124600000,-48.55
1.4E-05,8,4,13,22,460,6,216,91,4,2,71.3,8.483E-09,1.179E-08,5.229E-05,87.37,170000000,3821000,172000000,0.002363,46.02,131700000,-44.86
5E-06,14,2,13,22,230,21,432,260,8,4,62.6,1.018E-08,1.242E-08,3.713E-05,87.35,84040000,1531000,84940000,0.0009453,48.66,66760000,-49.59
